Species3,Family3,Order3,BeakLengthCulmen,BeakLengthNares,BeakWidth,BeakDepth,TarsusLength,WingLength,KippsDistance,Secondary,HandWingIndex,TailLength,Mass,Habitat,TrophicLevel,TrophicNiche,PrimaryLifestyle
Artamus superciliosus,Artamidae,Passeriformes,22.9,12.8,5.8,6.3,20.5,119.5,52.4,67.2,43.8,74.1,35.5,Woodland,Carnivore,Invertivore,Aerial
Atrichornis clamosus,Atrichornithidae,Passeriformes,19.8,8.2,3.1,5,25.7,74.3,4.4,68.6,6,104.3,42.2,Shrubland,Carnivore,Invertivore,Terrestrial
Atrichornis rufescens,Atrichornithidae,Passeriformes,16.7,9.6,2.9,4.3,22.3,62.9,6.5,54.9,10.7,71.1,24,Forest,Carnivore,Invertivore,Terrestrial
Bombycilla cedrorum,Bombycillidae,Passeriformes,15.1,6.6,4.5,4.9,16.7,95.4,33.5,62,35.1,59.8,31.6,Woodland,Herbivore,Frugivore,Insessorial
Bombycilla garrulus,Bombycillidae,Passeriformes,15.5,7.6,5.1,6,20.7,116.2,43.9,72.3,37.8,65.8,54.4,Forest,Herbivore,Omnivore,Insessorial
Bombycilla japonica,Bombycillidae,Passeriformes,15.8,7,4.6,5.5,17.3,107.2,44,63.2,41.1,54,42.3,Forest,Omnivore,Frugivore,Insessorial
Hypocolius ampelinus,Bombycillidae,Passeriformes,18.1,8.8,5.5,5.9,23,99.6,25.3,74.4,25.4,110,53.3,Woodland,Herbivore,Frugivore,Insessorial
Phainopepla nitens,Bombycillidae,Passeriformes,13.4,8.1,5,4.1,20.9,92.6,16.6,81.9,16.9,92.7,22.1,Shrubland,Omnivore,Frugivore,Insessorial
Phainoptila melanoxantha,Bombycillidae,Passeriformes,17.7,8.2,4,4.9,25.7,99.5,15.1,84.4,15.2,87,56,Forest,Herbivore,Frugivore,Insessorial
Ptilogonys caudatus,Bombycillidae,Passeriformes,14.8,6.4,4.4,4.6,18.1,96.4,21.7,75.6,22.3,125,36.2,Forest,Omnivore,Omnivore,Insessorial
Ptilogonys cinereus,Bombycillidae,Passeriformes,14.6,6.7,4.4,4.2,16.7,92.6,22.2,70.5,24,98.2,33.6,Forest,Omnivore,Omnivore,Insessorial
Callaeas cinereus,Callaeatidae,Passeriformes,32.5,15.4,9.9,13.2,66.5,158,18,140,11.3,164.5,225.4,Forest,Herbivore,Omnivore,Insessorial
Philesturnus carunculatus,Callaeatidae,Passeriformes,37,22.4,5.5,8.2,40,96.7,11.2,87.1,11.4,89.4,74.7,Forest,Carnivore,Invertivore,Generalist
Campephaga flava,Campephagidae,Passeriformes,19,9.8,6.1,5.4,19.7,98.8,22.2,76.4,22.5,85.4,32.3,Shrubland,Carnivore,Invertivore,Insessorial
Campephaga lobata,Campephagidae,Passeriformes,17.3,10.2,5.3,5.6,19.3,95.6,21.2,74.5,22.1,77.4,33.1,Forest,Carnivore,Invertivore,Insessorial
Campephaga oriolina,Campephagidae,Passeriformes,17.1,9.6,5.7,5,19.1,97.3,20.8,76.5,21.4,74.9,33.1,Forest,Carnivore,Invertivore,Insessorial
Campephaga petiti,Campephagidae,Passeriformes,17.9,10.3,5.9,5.3,19,95.5,21.9,73.7,22.9,82.9,31.3,Forest,Carnivore,Invertivore,Insessorial
Campephaga phoenicea,Campephagidae,Passeriformes,18.6,11,6.4,5.5,19.7,97.5,21.5,76.2,22,85.5,27.1,Woodland,Carnivore,Invertivore,Insessorial
Campephaga quiscalina,Campephagidae,Passeriformes,19.8,11.9,6.7,5.8,19.2,97.7,20.6,77.5,21,89.4,34.5,Forest,Carnivore,Invertivore,Insessorial
Campochaera sloetii,Campephagidae,Passeriformes,15.6,7.4,5.3,5,20.2,105.1,32.1,72.4,30.7,87,41,Forest,Herbivore,Frugivore,Insessorial
Coracina abbotti,Campephagidae,Passeriformes,24.6,14.6,7.3,7.2,26.2,110.1,25.6,84.5,23.2,90.5,68,Forest,Carnivore,Invertivore,Insessorial
Coracina analis,Campephagidae,Passeriformes,29.1,15.3,8.6,11.3,30.8,140.8,35,105.8,24.8,119.9,82.4,Forest,Carnivore,Invertivore,Insessorial
Coracina atriceps,Campephagidae,Passeriformes,34.7,20.2,12.1,12.4,26,159.7,46,112.9,28.9,127.9,139,Forest,Carnivore,Invertivore,Insessorial
Coracina azurea,Campephagidae,Passeriformes,21.5,11,7.2,6.5,20.9,106.1,23.4,82.4,22.1,73.4,46.1,Forest,Carnivore,Invertivore,Insessorial
Coracina bicolor,Campephagidae,Passeriformes,32,20.2,12.1,10.9,26.8,169.5,53,116.5,31.2,114.9,101,Forest,Carnivore,Invertivore,Insessorial
Coracina boyeri,Campephagidae,Passeriformes,22.7,12.8,7.7,8,22.3,126.9,34.8,92.1,27.4,91,66.4,Forest,Herbivore,Frugivore,Insessorial
Coracina caeruleogrisea,Campephagidae,Passeriformes,41.6,25.9,15.2,14.7,30.2,164.9,37.7,125.8,23,138.3,138.2,Forest,Carnivore,Invertivore,Insessorial
Coracina caesia,Campephagidae,Passeriformes,22.1,13.2,8.1,7,23.8,120.6,28.4,91.5,23.7,116.2,47.3,Forest,Carnivore,Invertivore,Insessorial
Coracina caledonica,Campephagidae,Passeriformes,38.5,22.4,14,14.2,31.7,185.3,48.6,136.7,26.2,146.7,140,Forest,Carnivore,Invertivore,Insessorial
Coracina ceramensis,Campephagidae,Passeriformes,23.1,13.7,6.7,6.7,22.9,108.7,29.7,79,27.3,74.8,47.9,Forest,Carnivore,Invertivore,Insessorial
Coracina cinerea,Campephagidae,Passeriformes,21.5,12.3,7.5,6.6,23.3,104.4,25.4,79,24.3,87.3,47.2,Forest,Carnivore,Invertivore,Insessorial
Coracina coerulescens,Campephagidae,Passeriformes,27.6,16.5,8.8,8.2,24.2,129.9,27.4,102.5,21.1,100.8,62.8,Forest,Carnivore,Invertivore,Insessorial
Coracina dispar,Campephagidae,Passeriformes,28.4,16.3,9.1,8.3,25.7,128.9,38.8,90,30.1,95.7,68,Forest,Carnivore,Invertivore,Insessorial
Coracina dohertyi,Campephagidae,Passeriformes,26.8,14.9,7.4,7.4,24.5,126.2,35.1,91.2,27.7,91.5,68,Forest,Carnivore,Invertivore,Insessorial
Coracina fimbriata,Campephagidae,Passeriformes,19.1,10.6,6.3,5.2,19.3,95.9,24.3,71.6,25.3,67.1,29.3,Forest,Carnivore,Invertivore,Insessorial
Coracina fortis,Campephagidae,Passeriformes,35.2,25.9,14.8,13.6,29.6,169,46,123,27.2,124.5,138.2,Forest,Carnivore,Invertivore,Insessorial
Coracina graueri,Campephagidae,Passeriformes,18.3,10.9,6.4,6.3,22.2,109,22.4,86.6,20.6,97.7,47.2,Forest,Carnivore,Invertivore,Insessorial
Coracina holopolia,Campephagidae,Passeriformes,24.6,13.6,7.3,6.9,21.8,111,25.9,85.1,23.2,92.2,48.9,Forest,Carnivore,Invertivore,Insessorial
Coracina incerta,Campephagidae,Passeriformes,24.9,15.8,7.9,7.6,23.5,113.2,31.2,82,27.5,77.5,58.9,Forest,Carnivore,Invertivore,Insessorial
Coracina javensis,Campephagidae,Passeriformes,30.6,17.6,12.7,11.7,26,159.3,49.6,107.3,31.6,108.3,94.5,Forest,Carnivore,Invertivore,Insessorial
Coracina larvata,Campephagidae,Passeriformes,28.4,17,11.7,10.4,25.5,145.5,42.8,102.7,29.4,109.1,94.5,Forest,Carnivore,Invertivore,Insessorial
Coracina leucopygia,Campephagidae,Passeriformes,27.3,16,9.8,9.5,25.1,149.1,48.3,100.2,32.5,106.3,94.5,Woodland,Carnivore,Invertivore,Insessorial
Coracina lineata,Campephagidae,Passeriformes,23.3,13.8,7.7,7.8,24.2,139.5,44.3,94.3,31.9,101.8,76,Forest,Herbivore,Frugivore,Insessorial
Coracina longicauda,Campephagidae,Passeriformes,28.5,15.9,10.6,9.8,32.2,176.6,43.3,133.3,24.6,144.2,101,Forest,Carnivore,Invertivore,Insessorial
Coracina macei,Campephagidae,Passeriformes,29.3,18.8,12.3,10.8,26.8,166.7,51.7,115.1,31,118.9,105,Forest,Carnivore,Invertivore,Insessorial
Coracina maxima,Campephagidae,Passeriformes,26.3,16.4,8,7.9,38.7,204.3,85.4,121.1,41.3,172.2,127,Shrubland,Carnivore,Invertivore,Terrestrial
Coracina mcgregori,Campephagidae,Passeriformes,21.9,11.9,7,6.3,23.2,102.9,22.4,80.6,21.7,84.2,42.6,Forest,Carnivore,Invertivore,Insessorial
Coracina melanoptera,Campephagidae,Passeriformes,19.3,10.8,5.7,5.1,20.8,100.2,27.1,73.1,27,72.5,29.4,Forest,Carnivore,Invertivore,Insessorial
Coracina melas,Campephagidae,Passeriformes,24.9,14.2,7.4,7.1,23.2,119,24.3,94.8,20.4,88.7,59.4,Forest,Carnivore,Invertivore,Insessorial
Coracina melaschistos,Campephagidae,Passeriformes,21.4,11.9,6.6,6,22.5,117.9,33,84.9,28,95.7,43,Forest,Carnivore,Invertivore,Insessorial
Coracina mindanensis,Campephagidae,Passeriformes,24.6,14.7,7.8,7.4,23.1,115.6,29.1,86.5,25.2,84.4,58.7,Forest,Carnivore,Invertivore,Insessorial
Coracina montana,Campephagidae,Passeriformes,22.7,12.6,6.4,6.7,26.2,128.8,41.1,87.6,31.9,96,79.2,Forest,Herbivore,Frugivore,Insessorial
Coracina morio,Campephagidae,Passeriformes,23.6,13.8,7.3,6.9,22.6,112.9,31.3,81.5,27.7,87.3,58.5,Forest,Carnivore,Invertivore,Insessorial
Coracina newtoni,Campephagidae,Passeriformes,19.5,11.1,5.7,6.3,24.3,97.6,21.2,76.4,21.7,79.8,42.9,Forest,Carnivore,Invertivore,Insessorial
Coracina novaehollandiae,Campephagidae,Passeriformes,28.8,15.7,10.7,10.5,28.7,192,73.7,118.5,38.4,135.7,118,Forest,Carnivore,Invertivore,Insessorial
Coracina ostenta,Campephagidae,Passeriformes,29.7,16.2,9.2,9.2,24.2,133.8,33,100.9,24.6,106.7,68,Forest,Carnivore,Invertivore,Insessorial
Coracina papuensis,Campephagidae,Passeriformes,32,20.3,11.4,11.2,25.3,154.1,47.2,109.5,30.1,109.5,63.5,Woodland,Carnivore,Invertivore,Insessorial
Coracina parvula,Campephagidae,Passeriformes,27.5,15.7,9.1,9.3,24.6,147,43.7,103.3,29.7,113,68,Forest,Carnivore,Invertivore,Insessorial
Coracina pectoralis,Campephagidae,Passeriformes,23.9,15.2,9.3,7.6,23.1,138.7,42.4,95.9,30.6,105.7,54.4,Woodland,Carnivore,Invertivore,Insessorial
Coracina personata,Campephagidae,Passeriformes,31.9,18.5,11.7,12.2,27.9,164.7,44.5,118.4,27.3,132,94.5,Forest,Carnivore,Invertivore,Insessorial
Coracina polioptera,Campephagidae,Passeriformes,19.7,11.3,6.1,5.4,20.8,110.9,30.3,80.5,27.4,94,35.8,Forest,Carnivore,Invertivore,Insessorial
Coracina schistacea,Campephagidae,Passeriformes,30.6,19.5,12.2,12.1,26.9,158.4,51.1,107.3,32.3,132.1,94.5,Forest,Carnivore,Omnivore,Insessorial
Coracina schisticeps,Campephagidae,Passeriformes,22.4,13.5,6.8,6.8,21.7,111,30.9,80.8,27.6,77.5,52.8,Forest,Herbivore,Frugivore,Insessorial
Coracina striata,Campephagidae,Passeriformes,30.9,20.3,12.2,11.5,24.5,152.1,48.1,104,31.6,106.4,111,Forest,Carnivore,Invertivore,Insessorial
Coracina sula,Campephagidae,Passeriformes,25.4,15.9,7.1,7.8,23.4,118,32.5,85.5,27.5,106.3,68,Forest,Carnivore,Invertivore,Insessorial
Coracina temminckii,Campephagidae,Passeriformes,30,17.3,10.8,10.2,24.6,152.9,38.2,114.7,25,135,101,Forest,Carnivore,Invertivore,Insessorial
Coracina tenuirostris,Campephagidae,Passeriformes,25.9,15.4,7.9,7.6,25.1,116.7,31.3,84.2,26.8,87.3,60.9,Shrubland,Carnivore,Invertivore,Insessorial
Coracina typica,Campephagidae,Passeriformes,22.3,13.7,7.1,7.2,27,106,24.1,81.8,22.8,85.6,42.9,Forest,Carnivore,Invertivore,Insessorial
Hemipus hirundinaceus,Campephagidae,Passeriformes,14.7,11.2,5,4.9,12.6,63.1,9.5,53.6,15.1,49.2,10.2,Forest,Carnivore,Invertivore,Insessorial
Hemipus picatus,Campephagidae,Passeriformes,12.2,8.4,4.3,3.7,11.2,60.7,9.4,52,15.3,55.5,9,Shrubland,Carnivore,Invertivore,Insessorial
Lalage atrovirens,Campephagidae,Passeriformes,17.6,9.6,5,4.9,20.2,96.9,25.7,71.2,26.5,72.3,33,Forest,Omnivore,Frugivore,Insessorial
Lalage aurea,Campephagidae,Passeriformes,17,9.7,5.2,4.8,19,94.2,23.5,69.9,25.1,74.9,32,Forest,Carnivore,Invertivore,Insessorial
Lalage leucomela,Campephagidae,Passeriformes,18.3,10.1,4.9,4.9,21.3,97.5,25.8,71.6,26.5,78.3,29.3,Forest,Carnivore,Invertivore,Insessorial
Lalage leucopyga,Campephagidae,Passeriformes,18.4,10,5.4,4.5,24.2,84.6,22.1,62.6,26.1,77.6,24.3,Forest,Carnivore,Invertivore,Insessorial
Lalage leucopygialis,Campephagidae,Passeriformes,18,10.4,5.3,5.2,19.8,91,24.5,66.5,26.9,67.8,24.3,Woodland,Carnivore,Invertivore,Insessorial
Lalage maculosa,Campephagidae,Passeriformes,18.9,10.4,5.2,5,23.6,92.7,26.5,66.2,28.5,63.5,30.3,Shrubland,Carnivore,Invertivore,Insessorial
Lalage melanoleuca,Campephagidae,Passeriformes,23.3,13.9,6.4,6.1,24.1,111.5,30.4,80.8,27.2,77.4,46.8,Forest,Carnivore,Invertivore,Insessorial
Lalage moesta,Campephagidae,Passeriformes,18.1,9.3,5.6,4.9,24.5,95.4,23.3,72.2,24.4,72.7,29.5,Forest,Omnivore,Frugivore,Insessorial
Lalage nigra,Campephagidae,Passeriformes,18.2,10.4,5.6,4.9,20.3,88.5,22,66.3,24.9,64.1,28.4,Shrubland,Carnivore,Invertivore,Insessorial
Lalage sharpei,Campephagidae,Passeriformes,18.8,10.8,4.8,4.2,22.9,81.5,21.4,60.1,26.2,53,28.6,Forest,Carnivore,Invertivore,Insessorial
Lalage sueurii,Campephagidae,Passeriformes,18.9,10.6,4.9,4.4,21,92.1,26.2,65.5,28.5,72.8,26,Shrubland,Carnivore,Invertivore,Generalist
Lalage tricolor,Campephagidae,Passeriformes,18.8,10.4,4.6,4.2,21.1,98.1,31.5,66,32.3,71.3,25,Woodland,Carnivore,Invertivore,Insessorial
Pericrocotus brevirostris,Campephagidae,Passeriformes,15,7.8,4.7,4.1,16,87.9,25.8,61.9,29.4,95.5,16.5,Woodland,Carnivore,Invertivore,Insessorial
Pericrocotus cantonensis,Campephagidae,Passeriformes,16.2,8.6,5.8,4.9,15.2,88.4,30.8,57.4,34.9,90.5,16.3,Forest,Carnivore,Invertivore,Insessorial
Pericrocotus cinnamomeus,Campephagidae,Passeriformes,13,7,4,3.5,15.3,67.2,17.4,49.7,25.9,68.3,8.6,Shrubland,Carnivore,Invertivore,Insessorial
Pericrocotus divaricatus,Campephagidae,Passeriformes,17.5,9.6,6,5.1,15.8,95.7,38.9,57.2,40.5,90.5,24.6,Forest,Carnivore,Invertivore,Insessorial
Pericrocotus erythropygius,Campephagidae,Passeriformes,12.7,6.7,4.5,3.4,14.8,68.3,15.4,52.8,22.6,79.9,10.8,Forest,Carnivore,Invertivore,Insessorial
Pericrocotus ethologus,Campephagidae,Passeriformes,15.6,8,4.6,4.1,16.6,91.6,27.9,63.5,30.5,102.7,19,Forest,Carnivore,Invertivore,Insessorial
Pericrocotus flammeus,Campephagidae,Passeriformes,18.7,10.7,6.1,5.5,17,92.1,25.9,66.1,28.1,88.4,23.3,Forest,Carnivore,Invertivore,Insessorial
Pericrocotus igneus,Campephagidae,Passeriformes,14.7,8.2,4.5,3.9,15.8,72.5,19.1,53.8,26.2,64,15,Forest,Carnivore,Invertivore,Insessorial
Pericrocotus lansbergei,Campephagidae,Passeriformes,14.9,8.3,4.8,4,14.9,73.1,17.3,55.8,23.7,84.7,16.3,Forest,Carnivore,Invertivore,Insessorial
Pericrocotus miniatus,Campephagidae,Passeriformes,14.8,7.8,4.5,4.2,15.8,81.7,21.9,59.9,26.8,93.4,16.3,Forest,Carnivore,Invertivore,Insessorial
Pericrocotus roseus,Campephagidae,Passeriformes,16.5,9.1,5.8,5,15.4,87.9,28.1,60.1,31.8,90.4,19.2,Forest,Carnivore,Invertivore,Insessorial
Pericrocotus solaris,Campephagidae,Passeriformes,15,7.6,4.8,4.1,15.8,84.6,25.1,59.6,29.6,91.6,14.5,Forest,Carnivore,Invertivore,Insessorial
Pericrocotus tegimae,Campephagidae,Passeriformes,16.9,9.6,6.3,5,16.5,86,27.2,59,31.5,95.6,21,Forest,Carnivore,Invertivore,Insessorial
Tephrodornis gularis,Campephagidae,Passeriformes,26,16.4,6.7,7.2,17.7,105.8,20.4,85.4,19.5,71.8,37.8,Forest,Carnivore,Invertivore,Insessorial
Tephrodornis pondicerianus,Campephagidae,Passeriformes,20.3,13.3,6,6.3,18.6,82.6,12.8,69.1,15.6,59,20.2,Forest,Carnivore,Invertivore,Insessorial
Amaurospiza carrizalensis,Cardinalidae,Passeriformes,13.3,7.4,6.4,6.8,18.1,61.8,8.2,53.5,13.3,57.5,13,Forest,NA,NA,Insessorial
Amaurospiza concolor,Cardinalidae,Passeriformes,12,7.1,5.3,6.7,17.5,61.5,9.9,51.1,16.2,51.5,13.1,Forest,Herbivore,Granivore,Insessorial
Amaurospiza moesta,Cardinalidae,Passeriformes,13.3,7.4,6.4,6.8,18.1,61.8,8.2,53.5,13.3,57.5,13.6,Forest,Herbivore,Granivore,Insessorial
Cardinalis cardinalis,Cardinalidae,Passeriformes,17.6,14.7,9.3,12.3,24.5,93.5,14.2,77.7,15.5,101.8,42.6,Shrubland,Herbivore,Omnivore,Insessorial
Cardinalis phoeniceus,Cardinalidae,Passeriformes,19.5,13.3,9.3,13.6,23.4,84.4,13,71.5,15.4,82.3,35,Shrubland,Omnivore,Omnivore,Insessorial
Cardinalis sinuatus,Cardinalidae,Passeriformes,15.3,10.3,7.3,12.6,24.4,93.3,13.9,79.4,14.9,103.2,35.2,Shrubland,Herbivore,Omnivore,Generalist
Caryothraustes canadensis,Cardinalidae,Passeriformes,17.4,11.8,8.5,11.2,20.5,90.8,15.8,72.5,17.8,71.2,34.5,Shrubland,Omnivore,Omnivore,Insessorial
Caryothraustes poliogaster,Cardinalidae,Passeriformes,18.3,12.2,8.3,10.5,21.5,92.9,15.9,76.9,17.1,73.8,41.8,Forest,Herbivore,Frugivore,Insessorial
Chlorothraupis carmioli,Cardinalidae,Passeriformes,23,13.6,8.2,8.9,22.5,86.6,15.2,71.6,17.5,64.8,37.6,Forest,Carnivore,Invertivore,Insessorial
Chlorothraupis olivacea,Cardinalidae,Passeriformes,21,13.2,8.2,9.2,22.3,90.5,16.6,73.9,18.3,66.2,39,Forest,Carnivore,Invertivore,Insessorial
Chlorothraupis stolzmanni,Cardinalidae,Passeriformes,21.9,13.6,8.3,9.3,23.2,89.6,15.6,74,17.4,64.8,38.8,Forest,Herbivore,Frugivore,Insessorial
Cyanocompsa brissonii,Cardinalidae,Passeriformes,15.2,11.4,7.7,11.6,20.1,75.6,11.4,65.4,14.8,69.9,27.5,Forest,Herbivore,Frugivore,Insessorial
Cyanocompsa cyanoides,Cardinalidae,Passeriformes,19.3,14.5,9.9,13.4,20.5,78.9,11.3,66.5,14.5,67.3,32.5,Forest,Herbivore,Granivore,Insessorial
Cyanocompsa parellina,Cardinalidae,Passeriformes,12.4,8.7,5.5,7.8,18.1,68,9.1,59.2,13.3,54.9,15.6,Woodland,Herbivore,Frugivore,Insessorial
Cyanoloxia glaucocaerulea,Cardinalidae,Passeriformes,12.3,8,5.9,8.8,18.7,71.7,11.9,59.6,16.6,66.6,18.2,Forest,Omnivore,Omnivore,Insessorial
Granatellus pelzelni,Cardinalidae,Passeriformes,12.3,7.3,4.2,4.4,17.4,54,7,47,13,51.5,11.2,Forest,Carnivore,Invertivore,Insessorial
Granatellus sallaei,Cardinalidae,Passeriformes,13.3,8.6,3.9,4.7,18.7,59.5,8,51.5,13.5,56.2,9.9,Forest,Carnivore,Invertivore,Generalist
Granatellus venustus,Cardinalidae,Passeriformes,13.7,8.6,4,4.8,19.9,62.6,8,54.6,12.8,74.2,10.8,Forest,Carnivore,Invertivore,Insessorial
Habia atrimaxillaris,Cardinalidae,Passeriformes,21.6,13.3,6.8,8.3,23.9,93.5,14.4,79.1,15.5,86.5,48.9,Forest,Carnivore,Invertivore,Insessorial
Habia cristata,Cardinalidae,Passeriformes,21,13.2,7,8.8,24.2,96.6,15.1,81.5,15.6,85.2,46.5,Forest,Carnivore,Invertivore,Insessorial
Habia fuscicauda,Cardinalidae,Passeriformes,20.2,13.4,7.3,8.4,25.2,95.7,12.9,83.9,13.3,84.8,36.8,Forest,Carnivore,Invertivore,Insessorial
Habia gutturalis,Cardinalidae,Passeriformes,19.6,12.6,7.5,8.4,24.9,96.2,15.6,82.2,15.9,91.3,36.4,Forest,Carnivore,Invertivore,Insessorial
Habia rubica,Cardinalidae,Passeriformes,18.1,11.9,6.9,8.3,23.7,92.5,15.9,75.3,17.6,84,32.5,Forest,Carnivore,Invertivore,Insessorial
Parkerthraustes humeralis,Cardinalidae,Passeriformes,19.7,12.9,8.2,10,20.9,83.9,19.8,63.4,23.8,71.5,37,Forest,Omnivore,Omnivore,Insessorial
Periporphyrus erythromelas,Cardinalidae,Passeriformes,21.6,15.1,10.1,13.9,20.1,99.2,18.1,81.1,18.3,88.8,48,Forest,Omnivore,Omnivore,Insessorial
Pheucticus aureoventris,Cardinalidae,Passeriformes,22.5,18,11.1,15.7,25.4,110.4,24.5,86,22.2,88.7,49,Forest,Herbivore,Omnivore,Insessorial
Pheucticus chrysogaster,Cardinalidae,Passeriformes,22.8,16.1,10.5,15.2,25,106.5,22.4,83.8,21.1,83.1,55.8,Forest,Omnivore,Omnivore,Insessorial
Pheucticus chrysopeplus,Cardinalidae,Passeriformes,23,16.6,11.4,16.2,24.9,111.2,23,88.2,20.6,89,77.6,Forest,Herbivore,Frugivore,Insessorial
Pheucticus ludovicianus,Cardinalidae,Passeriformes,18.6,11.8,8.8,11.8,21.6,101.3,27.4,75.8,26.5,74.6,42,Forest,Herbivore,Omnivore,Insessorial
Pheucticus melanocephalus,Cardinalidae,Passeriformes,19.1,13,9.1,12.1,22.9,100.5,24.3,76,24.2,72.8,47.1,Forest,Carnivore,Invertivore,Insessorial
Pheucticus tibialis,Cardinalidae,Passeriformes,21.9,16.2,11.2,16.4,23.6,108.7,25.1,83.6,23.1,79,62.3,Forest,Herbivore,Omnivore,Insessorial
Piranga bidentata,Cardinalidae,Passeriformes,20.7,13.5,7.6,8.9,21.8,97.1,22.5,74.9,23.1,84.9,36.1,Forest,Omnivore,Invertivore,Insessorial
Piranga erythrocephala,Cardinalidae,Passeriformes,14.2,9.2,6.2,7.6,18.8,71.2,12.7,58.5,17.8,65.9,21.8,Forest,Omnivore,Omnivore,Insessorial
Piranga flava,Cardinalidae,Passeriformes,19.2,14.8,8.5,9.5,21,93.6,22.8,71.3,24.2,74.5,37.7,Forest,Carnivore,Invertivore,Insessorial
Piranga leucoptera,Cardinalidae,Passeriformes,15.8,10.6,6.7,7.3,18.3,72.5,14.8,57.9,20.3,58.8,16,Forest,Herbivore,Frugivore,Insessorial
Piranga ludoviciana,Cardinalidae,Passeriformes,18.5,11.2,6.3,7.3,20.1,94.8,27.2,67.3,28.6,71.1,28.1,Forest,Carnivore,Invertivore,Insessorial
Piranga olivacea,Cardinalidae,Passeriformes,18.8,11.5,7.2,8.2,19.4,92.6,29.5,65.9,30.9,63.8,28.2,Forest,Carnivore,Invertivore,Insessorial
Piranga roseogularis,Cardinalidae,Passeriformes,16.9,10.6,7.9,8.6,20.4,78.6,14.2,64.3,18.1,66.4,24,Shrubland,Carnivore,Invertivore,Insessorial
Piranga rubra,Cardinalidae,Passeriformes,19.2,13.3,8.4,9,19.5,92,27.9,67.4,29.2,71.3,29.1,Forest,Carnivore,Invertivore,Insessorial
Piranga rubriceps,Cardinalidae,Passeriformes,17.6,11.5,7.8,8.3,22.2,100.1,21.6,78.5,21.7,77.1,35.9,Forest,Omnivore,Invertivore,Insessorial
Rhodothraupis celaeno,Cardinalidae,Passeriformes,20.1,13,8.3,11.3,22.9,101.3,14.8,86.5,14.6,94.3,60,Woodland,Herbivore,Omnivore,Insessorial
Saltator albicollis,Cardinalidae,Passeriformes,21.1,13.9,8.6,12,25.7,100.8,21.2,79.6,21.3,82.8,41.3,Shrubland,Herbivore,Frugivore,Insessorial
Saltator atriceps,Cardinalidae,Passeriformes,25.7,17,10.1,12.8,28.6,118.2,17.2,99.6,14.7,111.9,83.8,Shrubland,Herbivore,Omnivore,Insessorial
Saltator atricollis,Cardinalidae,Passeriformes,21.6,13.3,7.2,11.1,26.6,91.9,12.2,79.7,13.4,88.4,53.8,Shrubland,Herbivore,Granivore,Insessorial
Saltator atripennis,Cardinalidae,Passeriformes,21.5,13.9,9.2,11,24.2,102.5,12.9,87.8,12.8,99,55,Forest,Herbivore,Frugivore,Insessorial
Saltator aurantiirostris,Cardinalidae,Passeriformes,21.9,13.9,8.8,12.7,27,100.7,16.4,85.7,16,96.4,41.9,Woodland,Omnivore,Granivore,Insessorial
Saltator cinctus,Cardinalidae,Passeriformes,20.5,13,9.4,12.7,27.4,96.8,17.4,79.3,18,112.8,48.6,Forest,Herbivore,Frugivore,Insessorial
Saltator coerulescens,Cardinalidae,Passeriformes,22.3,14.2,9.1,11.1,26.5,99.8,14.6,86.2,14.5,96.8,54.9,Human Modified,Herbivore,Omnivore,Insessorial
Saltator fuliginosus,Cardinalidae,Passeriformes,25.8,18.6,10.8,16.3,25.6,105,14.7,90,14,105.4,44,Forest,Omnivore,Invertivore,Insessorial
Saltator grossus,Cardinalidae,Passeriformes,21.4,14.1,10.3,13.7,23.7,96.1,17.9,78.6,18.6,87.4,44.2,Forest,Omnivore,Omnivore,Insessorial
Saltator maxillosus,Cardinalidae,Passeriformes,20.8,12.6,8.9,13.4,22.3,98,13.4,84.6,13.7,106,50.8,Forest,Herbivore,Herbivore terrestrial,Insessorial
Saltator maximus,Cardinalidae,Passeriformes,20.7,14.7,8.9,10.4,25.3,96.1,16.1,79.2,16.9,88.9,47.6,Shrubland,Herbivore,Frugivore,Insessorial
Saltator nigriceps,Cardinalidae,Passeriformes,26.6,16.9,10.6,14.4,30.9,105.4,16.8,88.6,15.8,105,71,Woodland,Omnivore,Invertivore,Insessorial
Saltator orenocensis,Cardinalidae,Passeriformes,18.2,12.6,8.8,11.4,25.1,85,15.1,69.8,17.8,81.2,33.7,Shrubland,Herbivore,Omnivore,Insessorial
Saltator rufiventris,Cardinalidae,Passeriformes,19.6,11.3,8.1,11.4,31.9,116.1,19.6,96.8,16.8,103.6,74.2,Forest,Herbivore,Frugivore,Insessorial
Saltator similis,Cardinalidae,Passeriformes,20.3,13.2,7.9,11.2,23.9,99.8,15,84.9,15.1,94,43.3,Forest,Omnivore,Invertivore,Insessorial
Saltator striatipectus,Cardinalidae,Passeriformes,19.5,13.1,8.6,11.8,27.3,90.8,13.9,77.6,15.3,87.4,39,Shrubland,Omnivore,Omnivore,Insessorial
Spiza americana,Cardinalidae,Passeriformes,15.1,9.8,5.5,7.5,22.3,77.9,20.3,56.8,26.4,56.1,26.2,Grassland,Omnivore,Omnivore,Terrestrial
Certhia americana,Certhiidae,Passeriformes,16.2,9.6,2,2.8,14.2,63.6,15.3,48.2,24.1,63.3,8.1,Forest,Carnivore,Invertivore,Insessorial
